"","x"
"200",6.80392907671034e-09
"201",5.04206541093764e-09
"202",5.73473209476315e-09
"203",3.83926762801279e-09
"204",4.32069862026954e-09
"205",4.65998579328015e-09
"206",1.53020945513974e-08
"207",4.62335959259012e-09
"208",4.84118740614973e-09
"209",1.64008756529937e-08
"210",4.1678957759131e-09
"211",1.94806686470009e-08
"212",3.46959787372166e-09
"213",1.39115812710753e-08
"214",1.085360774234e-08
"215",3.10133150596812e-09
"216",4.40333233306855e-09
"217",1.36496286694884e-08
"218",6.81305781990336e-09
"219",3.25199595772345e-09
"220",1.08069363346642e-08
"221",5.18508657293987e-09
"222",6.0909280387616e-08
"223",1.91957347867161e-08
"224",2.56675318924467e-09
"225",6.93532806162016e-09
"226",5.3320764122578e-09
"227",4.61876992916458e-08
"228",6.17184078047448e-08
"229",5.03342974128565e-09
"230",4.64634903353298e-08
"231",1.50908046699893e-08
"232",4.19576660244769e-09
"233",1.3217193366335e-08
"234",2.52249075365729e-08
"235",6.73290672310848e-08
"236",3.88691539587917e-09
"237",1.8421295379384e-08
"238",7.30820569474136e-09
"239",8.3240649426348e-09
"240",8.70997571104139e-09
"241",2.5509265886208e-09
"242",3.89424122084187e-09
"243",6.71017638158799e-08
"244",4.8648948590499e-09
"245",5.47685603111786e-09
"246",4.59118790383369e-09
"247",3.08565968881315e-09
"248",5.26358026429876e-09
"249",1.92488250227606e-08
"250",1.64302692630861e-08
"251",6.43133990389197e-09
"252",4.43937770583994e-09
"253",3.13831918073041e-09
"254",1.64006858615656e-08
"255",1.5991246410802e-08
"256",1.26387915460954e-08
"257",2.61235755669384e-09
"258",6.81673938791589e-09
"259",1.87645827480065e-08
"260",8.03596143797122e-09
"261",2.36531523236759e-08
"262",5.24508307775673e-09
"263",4.50613692743251e-09
"264",5.10978210155123e-09
"265",2.45753334231975e-09
"266",4.16259549690916e-09
"267",9.40983288591648e-09
"268",3.5699274638204e-08
"269",1.54618862992034e-08
"270",6.6750833864457e-09
"271",1.6275062885641e-08
"272",2.34252469993828e-09
"273",4.68213382259935e-09
"274",7.00823969542094e-08
"275",4.46129665860271e-09
"276",4.09388811737069e-09
