size.time,mean.prob
250kmCurrent,5.83E-08
250kmCurrent,4.15E-08
250kmCurrent,7.23E-08
250kmCurrent,7.12E-08
250kmCurrent,7.35E-08
250kmCurrent,4.43E-08
250kmCurrent,4.01E-08
250kmCurrent,1.79E-08
250kmCurrent,3.39E-08
250kmCurrent,1.87E-08
250kmCurrent,3.46E-08
250kmCurrent,3.36E-08
250kmCurrent,5.84E-08
250kmCurrent,3.60E-08
250kmCurrent,3.84E-08
250kmCurrent,3.76E-08
250kmCurrent,2.12E-08
250kmCurrent,6.46E-08
250kmCurrent,4.21E-08
250kmCurrent,3.59E-08
250kmCurrent,2.78E-08
250kmCurrent,3.14E-08
250kmCurrent,3.91E-08
250kmCurrent,4.41E-08
250kmCurrent,3.50E-08
250kmCurrent,3.94E-08
250kmCurrent,5.88E-08
250kmCurrent,7.19E-08
250kmCurrent,7.14E-08
250kmCurrent,3.64E-08
250kmCurrent,2.10E-08
250kmCurrent,6.97E-08
250kmCurrent,7.22E-08
250kmCurrent,7.08E-08
250kmCurrent,6.93E-08
250kmCurrent,3.34E-08
250kmCurrent,3.53E-08
250kmCurrent,4.63E-08
250kmCurrent,3.73E-08
250kmCurrent,3.62E-08
250kmCurrent,3.76E-08
250kmCurrent,7.19E-08
250kmCurrent,3.52E-08
250kmCurrent,2.10E-08
250kmCurrent,3.71E-08
250kmCurrent,7.20E-08
250kmCurrent,5.93E-08
250kmCurrent,3.50E-08
250kmCurrent,5.89E-08
250kmCurrent,3.45E-08
250kmCurrent,2.63E-08
250kmCurrent,6.86E-08
250kmCurrent,7.11E-08
250kmCurrent,7.20E-08
250kmCurrent,6.90E-08
250kmCurrent,3.58E-08
250kmCurrent,3.80E-08
250kmCurrent,3.75E-08
250kmCurrent,4.63E-08
250kmCurrent,7.19E-08
250kmCurrent,4.38E-08
250kmCurrent,4.05E-08
250kmCurrent,3.93E-08
250kmCurrent,7.30E-08
250kmCurrent,4.03E-08
250kmCurrent,7.17E-08
250kmCurrent,3.75E-08
250kmCurrent,1.75E-08
250kmCurrent,7.20E-08
250kmCurrent,3.76E-08
250kmCurrent,3.29E-08
250kmCurrent,5.24E-08
250kmCurrent,7.15E-08
250kmCurrent,6.83E-08
250kmCurrent,5.19E-08
250kmCurrent,6.91E-08
250kmCurrent,3.59E-08
250kmCurrent,6.45E-08
250kmCurrent,6.90E-08
250kmCurrent,6.52E-08
250kmCurrent,6.47E-08
250kmCurrent,7.18E-08
250kmCurrent,7.25E-08
250kmCurrent,3.34E-08
250kmCurrent,3.60E-08
250kmCurrent,5.19E-08
250kmCurrent,6.88E-08
250kmCurrent,1.84E-08
250kmCurrent,3.91E-08
250kmCurrent,3.87E-08
250kmCurrent,3.73E-08
250kmCurrent,3.17E-08
250kmCurrent,6.52E-08
250kmCurrent,5.80E-08
250kmCurrent,3.30E-08
250kmCurrent,1.90E-08
250kmCurrent,5.79E-08
250kmCurrent,3.75E-08
250kmCurrent,7.30E-08
250kmCurrent,3.63E-08
250kmCurrent,3.30E-08
250kmCurrent,3.94E-08
250kmCurrent,4.51E-08
250kmCurrent,3.78E-08
250kmCurrent,3.22E-08
250kmCurrent,6.94E-08
250kmCurrent,6.20E-08
250kmCurrent,4.58E-08
250kmCurrent,6.61E-08
250kmCurrent,3.26E-08
250kmCurrent,7.28E-08
250kmCurrent,6.57E-08
250kmCurrent,3.79E-08
250kmCurrent,5.17E-08
250kmCurrent,3.24E-08
250kmCurrent,5.99E-08
250kmCurrent,3.39E-08
250kmCurrent,3.39E-08
250kmCurrent,7.22E-08
250kmCurrent,6.62E-08
250kmCurrent,4.72E-08
250kmCurrent,6.16E-08
250kmCurrent,5.03E-08
250kmCurrent,6.80E-08
250kmCurrent,6.50E-08
250kmCurrent,3.78E-08
250kmCurrent,7.18E-08
250kmCurrent,7.08E-08
250kmCurrent,6.57E-08
250kmCurrent,7.24E-08
250kmCurrent,6.38E-08
250kmCurrent,3.34E-08
250kmCurrent,6.85E-08
250kmCurrent,5.88E-08
250kmCurrent,6.48E-08
250kmCurrent,6.79E-08
250kmCurrent,3.76E-08
250kmCurrent,1.94E-08
250kmCurrent,5.97E-08
250kmCurrent,3.31E-08
250kmCurrent,4.32E-08
250kmCurrent,3.00E-08
250kmCurrent,6.85E-08
250kmCurrent,3.73E-08
250kmCurrent,4.40E-08
250kmCurrent,6.45E-08
250kmCurrent,6.59E-08
250kmCurrent,7.24E-08
250kmCurrent,3.23E-08
250kmCurrent,7.38E-08
250kmCurrent,3.52E-08
250kmCurrent,3.79E-08
250kmCurrent,6.60E-08
250kmCurrent,3.02E-08
250kmCurrent,3.74E-08
250kmCurrent,3.87E-08
250kmCurrent,3.71E-08
250kmCurrent,2.92E-08
250kmCurrent,2.33E-08
250kmCurrent,7.21E-08
250kmCurrent,2.12E-08
250kmCurrent,6.62E-08
250kmCurrent,7.19E-08
250kmCurrent,7.20E-08
250kmCurrent,5.34E-08
250kmCurrent,3.62E-08
250kmCurrent,1.74E-08
250kmCurrent,4.68E-08
250kmCurrent,4.10E-08
250kmCurrent,6.93E-08
250kmCurrent,3.59E-08
250kmCurrent,2.45E-08
250kmCurrent,3.48E-08
250kmCurrent,3.94E-08
250kmCurrent,3.30E-08
250kmCurrent,6.75E-08
250kmCurrent,1.93E-08
250kmCurrent,1.91E-08
250kmCurrent,3.31E-08
250kmCurrent,3.52E-08
250kmCurrent,6.97E-08
250kmCurrent,4.49E-08
250kmCurrent,7.32E-08
250kmCurrent,6.47E-08
250kmCurrent,7.13E-08
250kmCurrent,7.06E-08
250kmCurrent,3.47E-08
250kmCurrent,7.17E-08
250kmCurrent,4.94E-08
250kmCurrent,3.81E-08
250kmCurrent,3.52E-08
250kmCurrent,7.15E-08
250kmCurrent,6.91E-08
250kmCurrent,6.45E-08
250kmCurrent,6.47E-08
250kmCurrent,6.48E-08
250kmCurrent,5.78E-08
250kmCurrent,3.97E-08
250kmCurrent,6.48E-08
250kmCurrent,6.69E-08
250kmCurrent,3.23E-08
250kmCurrent,6.27E-08
250kmCurrent,6.95E-08
250kmCurrent,6.19E-08
250kmCurrent,7.37E-08
250kmCurrent,4.32E-08
250kmCurrent,3.23E-08
250kmCurrent,4.79E-08
250kmCurrent,4.98E-08
250kmCurrent,3.80E-08
250kmCurrent,6.48E-08
250kmCurrent,3.61E-08
250kmCurrent,5.00E-08
250kmCurrent,7.35E-08
250kmCurrent,4.78E-08
250kmCurrent,3.83E-08
250kmCurrent,7.21E-08
250kmCurrent,3.66E-08
250kmCurrent,1.74E-08
250kmCurrent,6.18E-08
250kmCurrent,3.67E-08
250kmCurrent,7.15E-08
250kmCurrent,3.62E-08
250kmCurrent,6.88E-08
250kmCurrent,6.55E-08
250kmCurrent,7.21E-08
250kmCurrent,2.66E-08
250kmCurrent,3.63E-08
250kmCurrent,6.54E-08
250kmCurrent,6.64E-08
250kmCurrent,3.56E-08
250kmCurrent,3.57E-08
250kmCurrent,4.68E-08
250kmCurrent,3.59E-08
250kmCurrent,4.03E-08
250kmCurrent,3.58E-08
250kmCurrent,3.63E-08
250kmCurrent,4.04E-08
250kmCurrent,3.74E-08
250kmCurrent,3.49E-08
250kmCurrent,4.17E-08
250kmCurrent,3.53E-08
250kmCurrent,3.32E-08
250kmCurrent,3.66E-08
250kmCurrent,2.31E-08
250kmCurrent,7.25E-08
250kmCurrent,2.66E-08
250kmCurrent,3.30E-08
250kmCurrent,3.97E-08
250kmCurrent,7.27E-08
250kmCurrent,6.88E-08
250kmCurrent,7.26E-08
250kmCurrent,6.21E-08
250kmCurrent,2.81E-08
250kmCurrent,3.16E-08
250kmCurrent,3.04E-08
250kmCurrent,2.76E-08
250kmCurrent,3.84E-08
250kmCurrent,3.80E-08
250kmCurrent,1.88E-08
250kmCurrent,3.84E-08
250kmCurrent,3.12E-08
250kmCurrent,6.46E-08
250kmCurrent,4.15E-08
250kmCurrent,3.42E-08
250kmCurrent,6.52E-08
250kmCurrent,3.62E-08
250kmCurrent,5.32E-08
250kmCurrent,1.87E-08
250kmCurrent,4.49E-08
250kmCurrent,2.83E-08
250kmCurrent,4.24E-08
250kmCurrent,6.69E-08
250kmCurrent,1.66E-08
250kmCurrent,1.80E-08
250kmCurrent,5.14E-08
250kmCurrent,5.08E-08
250kmCurrent,3.57E-08
250kmCurrent,1.86E-08
250kmCurrent,5.62E-08
250kmCurrent,4.33E-08
250kmCurrent,3.55E-08
250kmCurrent,6.46E-08
250kmCurrent,6.93E-08
250kmCurrent,3.58E-08
250kmCurrent,6.45E-08
250kmCurrent,3.75E-08
250kmCurrent,7.19E-08
250kmCurrent,3.87E-08
250kmCurrent,3.53E-08
250kmCurrent,7.14E-08
250kmCurrent,2.56E-08
250kmCurrent,1.82E-08
250kmCurrent,3.75E-08
250kmCurrent,2.27E-08
250kmCurrent,4.44E-08
250kmCurrent,3.31E-08
250kmCurrent,7.19E-08
250kmCurrent,2.01E-08
250kmCurrent,3.66E-08
250kmCurrent,5.99E-08
250kmCurrent,6.54E-08
250kmCurrent,2.82E-08
250kmCurrent,3.71E-08
250kmCurrent,3.25E-08
250kmCurrent,4.29E-08
250kmCurrent,5.18E-08
250kmCurrent,6.22E-08
250kmCurrent,7.22E-08
250kmCurrent,5.69E-08
250kmCurrent,5.74E-08
250kmCurrent,6.48E-08
250kmCurrent,4.16E-08
250kmCurrent,4.37E-08
250kmCurrent,3.53E-08
250kmCurrent,7.22E-08
250kmCurrent,7.28E-08
250kmCurrent,3.59E-08
250kmCurrent,3.82E-08
250kmCurrent,6.01E-08
250kmCurrent,6.81E-08
250kmCurrent,7.15E-08
250kmCurrent,6.86E-08
250kmCurrent,7.29E-08
250kmCurrent,6.84E-08
250kmCurrent,3.67E-08
250kmCurrent,6.59E-08
250kmCurrent,2.61E-08
250kmCurrent,4.61E-08
250kmCurrent,3.90E-08
250kmCurrent,3.18E-08
250kmCurrent,4.99E-08
250kmCurrent,3.26E-08
250kmCurrent,3.68E-08
250kmCurrent,3.80E-08
250kmCurrent,4.61E-08
250kmCurrent,5.10E-08
250kmCurrent,3.96E-08
250kmCurrent,3.70E-08
250kmCurrent,2.49E-08
250kmCurrent,4.08E-08
250kmCurrent,3.07E-08
250kmCurrent,7.26E-08
250kmCurrent,7.10E-08
250kmCurrent,4.53E-08
250kmCurrent,7.20E-08
250kmCurrent,4.73E-08
250kmCurrent,6.49E-08
250kmCurrent,2.53E-08
250kmCurrent,3.57E-08
250kmCurrent,3.38E-08
250kmCurrent,6.71E-08
250kmCurrent,3.04E-08
250kmCurrent,3.48E-08
250kmCurrent,4.75E-08
250kmCurrent,3.75E-08
250kmCurrent,3.49E-08
250kmCurrent,3.47E-08
250kmCurrent,6.64E-08
250kmCurrent,6.59E-08
250kmCurrent,6.75E-08
250kmCurrent,5.18E-08
250kmCurrent,6.53E-08
250kmCurrent,2.71E-08
250kmCurrent,6.69E-08
250kmCurrent,7.19E-08
250kmCurrent,3.80E-08
250kmCurrent,6.90E-08
250kmCurrent,1.91E-08
250kmCurrent,3.14E-08
250kmCurrent,4.03E-08
250kmCurrent,3.73E-08
250kmCurrent,7.20E-08
250kmCurrent,3.68E-08
250kmCurrent,6.51E-08
250kmCurrent,4.21E-08
250kmCurrent,5.07E-08
250kmCurrent,4.01E-08
250kmCurrent,3.60E-08
250kmCurrent,6.47E-08
250kmCurrent,6.21E-08
250kmCurrent,6.43E-08
250kmCurrent,7.14E-08
250kmCurrent,7.25E-08
250kmCurrent,6.56E-08
250kmCurrent,6.78E-08
250kmCurrent,3.67E-08
250kmCurrent,6.45E-08
250kmCurrent,3.47E-08
250kmCurrent,3.94E-08
250kmCurrent,4.22E-08
250kmCurrent,6.61E-08
250kmCurrent,3.43E-08
