"","x"
"95",3.87991609269877e-08
"96",6.1367021312554e-08
"97",6.76259540203285e-08
"98",2.74409513929e-08
"99",6.49705922457979e-08
"100",5.06855269928854e-08
"101",7.02801310966649e-08
"102",4.98017803864178e-08
"103",4.02471850170302e-08
"104",3.79558333879871e-08
"105",6.89582695490956e-08
"106",3.9497927098256e-08
"107",4.3219003288878e-08
"108",3.96391303520318e-08
"109",3.73369214563916e-08
"110",3.61818140312339e-08
"111",7.14204609885036e-08
"112",6.47480761582286e-08
"113",3.17864407003853e-08
"114",6.64836911530667e-08
"115",2.4931074869348e-08
"116",5.69216399450749e-08
"117",6.76535092356962e-08
"118",3.2398439165059e-08
"119",3.67057826356661e-08
"120",4.79190812118192e-08
"121",5.31100643720599e-08
"122",3.70546149402875e-08
"123",6.481475565354e-08
"124",3.65630202774617e-08
"125",3.78034292785906e-08
"126",2.86850319572436e-08
"127",3.32443178714575e-08
"128",6.65331709778125e-08
"129",3.89003012765192e-08
"130",3.47889387172989e-08
"131",5.02589618034455e-08
"132",3.70984482610176e-08
"133",7.1292956574138e-08
"134",5.6446856950319e-08
"135",3.18404441340853e-08
"136",6.45379941266499e-08
"137",6.54612439650445e-08
"138",4.13551812589515e-08
"139",6.65262836020866e-08
"140",7.14142363392135e-08
"141",6.64507885730935e-08
"142",7.20223388892862e-08
"143",3.66671702500431e-08
"144",3.45155147568374e-08
"145",3.7865050140488e-08
"146",6.79665194162673e-08
"147",6.25585820464166e-08
"148",7.33119313242929e-08
"149",3.65306764869272e-08
"150",3.58843570916555e-08
"151",5.17833196944382e-08
"152",6.37621674512921e-08
"153",7.34782690033481e-08
"154",4.03690908530548e-08
"155",3.99232302344575e-08
"156",3.62787150939968e-08
"157",6.5247121757426e-08
"158",3.91914035455596e-08
"159",4.50148261290802e-08
"160",7.33186414622388e-08
"161",6.4400525780688e-08
"162",3.53250251401013e-08
"163",3.43736296216933e-08
"164",6.53700560840607e-08
"165",3.40934231454961e-08
"166",6.5077988181253e-08
"167",6.99244059814679e-08
"168",4.09261721628903e-08
"169",5.51736018497824e-08
"170",4.10256227602287e-08
"171",5.58731655608921e-08
"172",5.82661659408525e-08
"173",3.17062575685127e-08
"174",3.08381272875135e-08
"175",1.7084623551511e-08
"176",4.32741704965506e-08
"177",3.94833831431098e-08
