size.time,mean.prob
50kmCurrent,1.09E-08
50kmCurrent,1.30E-08
50kmCurrent,1.11E-08
50kmCurrent,8.38E-09
50kmCurrent,2.37E-08
50kmCurrent,2.40E-08
50kmCurrent,2.02E-08
50kmCurrent,8.45E-08
50kmCurrent,8.04E-09
50kmCurrent,9.16E-09
50kmCurrent,3.24E-08
50kmCurrent,3.17E-08
50kmCurrent,8.27E-09
50kmCurrent,1.06E-08
50kmCurrent,9.08E-08
50kmCurrent,8.53E-08
50kmCurrent,9.20E-08
50kmCurrent,9.41E-08
50kmCurrent,9.33E-08
50kmCurrent,4.03E-08
50kmCurrent,6.30E-08
50kmCurrent,5.46E-08
50kmCurrent,4.04E-08
50kmCurrent,9.17E-08
50kmCurrent,9.22E-08
50kmCurrent,4.07E-08
50kmCurrent,1.09E-08
50kmCurrent,8.68E-09
50kmCurrent,4.53E-08
50kmCurrent,9.21E-08
50kmCurrent,4.40E-08
50kmCurrent,4.81E-08
50kmCurrent,5.46E-08
50kmCurrent,4.92E-08
50kmCurrent,6.97E-08
50kmCurrent,2.92E-08
50kmCurrent,8.48E-08
50kmCurrent,1.95E-08
50kmCurrent,6.55E-08
50kmCurrent,8.67E-08
50kmCurrent,9.49E-08
50kmCurrent,4.00E-08
50kmCurrent,8.08E-08
50kmCurrent,1.81E-08
50kmCurrent,6.07E-08
50kmCurrent,1.07E-08
50kmCurrent,8.93E-08
50kmCurrent,2.67E-08
50kmCurrent,6.34E-08
50kmCurrent,8.32E-08
50kmCurrent,7.98E-09
50kmCurrent,6.89E-08
50kmCurrent,9.45E-08
50kmCurrent,8.09E-09
50kmCurrent,9.01E-08
50kmCurrent,9.03E-09
50kmCurrent,2.44E-08
50kmCurrent,1.32E-08
50kmCurrent,2.14E-08
50kmCurrent,6.64E-08
50kmCurrent,8.85E-08
50kmCurrent,2.93E-08
50kmCurrent,7.22E-08
50kmCurrent,6.01E-08
50kmCurrent,4.29E-08
50kmCurrent,9.88E-08
50kmCurrent,6.41E-08
50kmCurrent,9.35E-08
50kmCurrent,6.59E-08
50kmCurrent,9.86E-09
50kmCurrent,2.40E-08
50kmCurrent,6.98E-08
50kmCurrent,5.64E-08
50kmCurrent,2.61E-08
50kmCurrent,3.13E-08
50kmCurrent,1.05E-08
50kmCurrent,9.22E-08
50kmCurrent,8.78E-09
50kmCurrent,4.69E-08
50kmCurrent,1.26E-08
50kmCurrent,3.54E-08
50kmCurrent,1.06E-08
50kmCurrent,8.36E-08
50kmCurrent,9.85E-08
50kmCurrent,9.06E-09
50kmCurrent,2.94E-08
50kmCurrent,9.29E-08
50kmCurrent,5.20E-08
50kmCurrent,6.96E-08
50kmCurrent,9.89E-08
50kmCurrent,6.59E-08
50kmCurrent,3.56E-08
50kmCurrent,4.16E-08
50kmCurrent,2.13E-08
50kmCurrent,5.96E-08
50kmCurrent,3.93E-08
50kmCurrent,4.08E-08
50kmCurrent,9.15E-09
50kmCurrent,1.62E-08
50kmCurrent,8.72E-09
50kmCurrent,3.36E-08
50kmCurrent,5.52E-08
50kmCurrent,8.82E-08
50kmCurrent,5.96E-08
50kmCurrent,1.83E-08
50kmCurrent,7.36E-08
50kmCurrent,1.61E-08
50kmCurrent,1.02E-08
50kmCurrent,3.42E-08
50kmCurrent,5.46E-08
50kmCurrent,9.39E-08
50kmCurrent,3.76E-08
50kmCurrent,5.10E-08
50kmCurrent,5.93E-08
50kmCurrent,8.64E-08
50kmCurrent,1.54E-08
50kmCurrent,2.17E-08
50kmCurrent,1.20E-08
50kmCurrent,3.41E-08
50kmCurrent,2.57E-08
50kmCurrent,3.22E-08
50kmCurrent,1.20E-08
50kmCurrent,4.61E-08
50kmCurrent,1.05E-08
50kmCurrent,9.40E-08
50kmCurrent,8.12E-09
50kmCurrent,1.31E-08
50kmCurrent,7.73E-08
50kmCurrent,1.01E-07
50kmCurrent,7.34E-08
50kmCurrent,4.81E-08
