"","x"
"112",6.0509680090561e-09
"113",3.51822108445026e-09
"114",1.26134172897404e-08
"115",6.41861452239193e-08
"116",6.70961970970728e-09
"117",5.49183169130631e-08
"118",2.87538364596123e-08
"119",4.58451479771664e-08
"120",4.64346257404431e-08
"121",6.90035010705124e-09
"122",4.26267727716658e-08
"123",1.60201056047252e-08
"124",7.77134414777712e-09
"125",5.75888559090965e-08
"126",3.99616410215752e-08
"127",1.21422021800801e-08
"128",3.74888995372579e-09
"129",3.74604230902708e-08
"130",5.74735449406518e-08
"131",3.81095564319783e-08
"132",6.26066992739703e-09
"133",7.4682949080677e-09
"134",2.53959339739265e-08
"135",2.5319920099557e-08
"136",3.61109276484453e-08
"137",4.14028705095675e-08
"138",1.10436337143132e-08
"139",4.45298960681239e-08
"140",1.73200849647676e-08
"141",2.23457798586272e-08
"142",3.87834594273978e-08
"143",6.80674275214394e-09
"144",5.66396417335262e-08
"145",6.4712602763885e-09
"146",6.17453216732173e-09
"147",1.77086752492004e-08
"148",1.91187450466931e-08
"149",3.92868374907631e-09
"150",5.49388666613246e-08
"151",1.94127391998321e-08
"152",8.8619624435678e-09
"153",1.72055515958803e-08
"154",1.61531375749067e-08
"155",6.36909764219005e-09
"156",1.57991478166056e-08
"157",5.01739220814927e-08
"158",5.82863851100517e-09
"159",5.80939562341625e-08
"160",4.51728098203211e-08
"161",6.18718005897167e-08
"162",4.94477505897318e-08
"163",4.48487761809548e-08
"164",5.6995016481269e-08
"165",3.65344407628691e-08
"166",5.89967890786687e-08
"167",5.85261684609769e-09
"168",3.69020754671427e-08
"169",1.58342251549598e-08
"170",3.83604494535086e-09
"171",9.93600948947487e-09
"172",3.74015315544094e-08
"173",1.92168839587064e-08
"174",1.42032917792475e-08
"175",3.77777008366248e-09
"176",1.31335645393325e-08
"177",3.84392832450864e-08
"178",3.92713344542185e-09
"179",5.66884994157596e-08
"180",1.7494571619763e-08
"181",6.69908830972636e-08
"182",9.0218680107643e-09
"183",4.67228596266131e-08
"184",5.28580805221403e-08
"185",3.72458381666657e-08
"186",3.16449462450848e-08
"187",6.06109805821092e-09
"188",3.3996168119373e-08
"189",5.85982635728202e-08
"190",2.98293299448957e-08
"191",6.54593062789342e-09
"192",3.09884729193683e-08
"193",5.11593798828358e-08
"194",3.76395847855492e-08
"195",4.53978010022347e-08
"196",1.27241336246793e-08
"197",4.99470050512327e-08
"198",4.63372704575775e-08
"199",5.65485085196533e-08
"200",4.55751658347173e-08
"201",5.95771981948034e-08
"202",6.29279305193406e-08
"203",2.05720160556663e-08
"204",1.25434422944032e-08
"205",5.36484171993997e-08
"206",3.52199332939866e-08
"207",1.14423289433384e-08
"208",6.25035082412863e-08
"209",4.60414414038744e-08
"210",7.33171937863949e-09
"211",4.05264048401371e-08
"212",4.78482433510250e-09
"213",5.34244312129617e-08
"214",3.29171971427108e-08
"215",5.71340459682177e-08
"216",6.32739920617467e-09
"217",7.05639762338987e-09
"218",5.01104423315127e-09
"219",4.59168560457475e-08
"220",9.90192372724414e-09
"221",1.40565623045373e-08
"222",1.21699996371305e-08
"223",2.58961848592633e-08
"224",7.23088576897535e-09
"225",5.48801693609454e-08
"226",5.91063367082265e-09
"227",5.54355061266397e-08
"228",5.15719187368448e-08
"229",4.59817660500856e-08
"230",5.75055948386345e-08
"231",5.64700038335786e-08
"232",3.30724330230031e-08
"233",1.06176821869376e-08
"234",6.53397464057028e-09
"235",6.11123772471601e-08
"236",5.06705438505973e-08
"237",3.07984723806403e-08
"238",1.30836956306492e-08
"239",4.5164314483064e-08
"240",6.23866423766331e-08
"241",5.54705569907168e-08
"242",5.60347459772899e-08
"243",6.13733394792779e-09
"244",1.33388846203159e-08
"245",5.48237596346927e-08
"246",5.8755089781814e-09
"247",8.61034735029017e-09
"248",4.6323900382197e-08
"249",1.94927923647673e-08
"250",1.72725185061695e-08
"251",4.84691003937281e-09
"252",7.69075028601832e-09
"253",4.74625320010925e-09
"254",1.94599606887873e-08
"255",1.76473014028397e-08
"256",5.66595760606317e-09
"257",1.32403074011897e-08
"258",4.64147430344033e-08
"259",6.01287811785332e-09
"260",8.19413232046103e-09
"261",7.11066578204423e-09
"262",5.87149949047618e-08
"263",9.8483981728049e-09
"264",1.15926792451597e-08
"265",9.54465782227444e-09
"266",3.22594811591412e-08
"267",1.38708469439589e-08
"268",6.79284188258442e-09
"269",3.84999812248234e-08
"270",5.74521171287096e-08
"271",1.60579227063251e-08
"272",4.98462852868736e-08
"273",1.08166773294806e-08
"274",7.28684350076499e-09
"275",5.68725803796055e-08
"276",7.66288358784536e-09
"277",5.18049813584869e-08
"278",4.60624751425907e-08
"279",5.75235763696676e-08
"280",8.52151348048739e-09
"281",5.06943041076493e-09
"282",2.13201727549613e-08
"283",1.01525398828463e-08
"284",4.14316505498779e-08
"285",6.14143863125858e-09
"286",4.44399170164791e-08
"287",1.66963452540369e-08
"288",6.50357990177312e-08
"289",3.7913695520502e-08
"290",2.63335480314986e-08
"291",3.30873476471772e-08
"292",4.20394756083823e-08
"293",1.39533206469545e-08
"294",4.41306695523065e-08
"295",6.93937768667653e-09
"296",4.60833809028281e-08
"297",4.00484281838247e-09
"298",7.38369845493064e-09
"299",1.82521391256397e-08
"300",1.10989278553336e-08
"301",5.97659797086483e-08
"302",1.7710218058879e-08
"303",3.30613718498997e-08
"304",1.75288379085729e-08
"305",6.45783470245739e-08
"306",5.01642858582791e-09
"307",8.26725856252745e-09
"308",5.92743204729012e-08
"309",2.04981724185251e-08
"310",5.57862049039241e-08
"311",3.81056255348347e-08
"312",5.0384877684684e-08
"313",5.33126088319014e-09
"314",5.46641583174679e-09
"315",5.9937642527012e-08
"316",5.86069844175278e-08
"317",1.51856832131519e-08
"318",3.34766327005478e-08
"319",4.84213020832966e-08
"320",1.40783348864319e-08
"321",6.16825241642882e-09
"322",4.39088621353901e-08
"323",2.35614462995078e-08
"324",2.69684508373963e-08
"325",3.00676947211629e-08
"326",3.44918464936372e-08
"327",6.24889383925861e-08
"328",7.05120654427966e-09
"329",9.317949141588e-09
"330",4.16315012040078e-09
"331",4.14334570558312e-08
"332",5.90134885338918e-08
"333",6.43764181996134e-09
"334",3.62162025414195e-09
"335",2.37553500394023e-08
"336",6.50478713339742e-09
"337",4.08775747806552e-08
"338",2.23969024534804e-08
"339",3.85459868302933e-08
"340",4.61000341941078e-08
"341",8.82186051644701e-09
"342",5.36833201116485e-08
"343",7.84183418179981e-09
"344",4.40766279590811e-08
"345",4.097613116941e-08
"346",4.13346197217734e-08
"347",3.43252265872194e-08
"348",9.51679503202174e-09
"349",4.46890478457901e-08
"350",3.59489644737663e-08
"351",4.18561246861488e-09
"352",4.35549852470964e-08
"353",1.9842080888747e-08
"354",1.19871325886678e-08
"355",5.0433705493887e-08
"356",3.67439487899192e-08
"357",7.43076399882485e-09
"358",9.17557681258628e-09
"359",3.88650831689544e-08
"360",2.65979328722901e-08
"361",4.44723900817692e-08
"362",5.01880857378791e-08
"363",1.09094228684231e-08
"364",6.82917742342058e-09
"365",9.48667860552786e-09
"366",1.76655169033241e-08
"367",4.05244517735124e-08
"368",1.24710325887795e-08
"369",4.0392465130231e-08
"370",3.54379046693873e-08
"371",5.29799264371776e-09
"372",5.83096759938362e-08
"373",4.98620348850488e-09
"374",2.97088181467111e-08
"375",5.84971277802739e-08
"376",1.74366326017582e-08
"377",4.46966184427238e-08
"378",5.70965157211473e-08
"379",3.95461398213492e-08
"380",6.15752217410495e-08
"381",5.00341971885379e-09
"382",5.72977777003437e-08
"383",3.95859574937437e-09
"384",2.49037347388674e-08
"385",6.05990282266981e-09
"386",2.10120968950446e-08
"387",4.85114546495503e-08
"388",6.04153043281185e-08
"389",2.98471180695709e-08
"390",1.77222134878635e-08
"391",1.65058068454141e-08
"392",5.55406810152793e-08
"393",1.70741626354933e-08
"394",5.40010559414386e-08
"395",4.3593249197967e-08
"396",5.63087644864822e-09
"397",1.17157678553913e-08
"398",6.84234190788562e-09
"399",9.57856055298239e-09
"400",3.15708325773036e-08
"401",5.49659528461273e-09
