"","x"
"133",3.43391610656553e-08
"134",2.81827054875968e-08
"135",5.44840867266931e-08
"136",2.2401279890019e-08
"137",5.30546575021138e-09
"138",7.5631495092314e-09
"139",2.90227506605168e-08
"140",3.20931806121258e-08
"141",8.91721748091234e-09
"142",8.82757478872105e-09
"143",4.23681502184048e-09
"144",6.60502972811628e-09
"145",7.42072908762605e-09
"146",3.95468007823124e-09
"147",7.40037037092119e-09
"148",1.47182775687242e-08
"149",5.34061596737518e-08
"150",6.40247070771722e-09
"151",4.71337398255194e-08
"152",4.06990788172848e-09
"153",2.70076034061018e-08
"154",3.04706133727455e-08
"155",1.38989391966782e-08
"156",3.56934377043023e-08
"157",3.92946102086489e-09
"158",4.37591916821081e-08
"159",1.88059757264049e-08
"160",2.5767369559033e-08
"161",1.6149206147835e-08
"162",4.04283579672266e-09
"163",2.94192158013103e-08
"164",2.90636035449619e-08
"165",4.92827562666979e-08
"166",5.85788989733711e-08
"167",5.45301373446674e-09
"168",7.81233601101671e-09
"169",2.86817166746714e-08
"170",2.5314646929788e-08
"171",6.55108443060694e-09
"172",1.28629182947413e-08
"173",6.5154700555105e-09
"174",2.27005430884787e-08
"175",3.03442935874569e-08
"176",6.66414560860933e-09
"177",3.19247724233592e-08
"178",6.3309517260432e-09
"179",5.29955629422877e-08
"180",2.89056685159976e-08
"181",4.36205712571031e-09
"182",4.83029153369058e-09
"183",5.94449178957971e-09
"184",1.1694348479831e-08
"185",1.76016737623879e-08
"186",5.70986864078193e-08
"187",3.72938656860024e-08
"188",4.2951383253183e-08
"189",1.93208853129558e-08
"190",4.85259741506579e-09
"191",4.44455708657394e-09
"192",8.10040763186817e-09
"193",5.67704048174793e-08
"194",1.87612335591536e-08
"195",5.22638031262869e-08
"196",3.03438858107344e-08
"197",2.74906997986768e-08
"198",4.36847949676491e-09
"199",3.93938119417319e-09
"200",2.97417889878866e-08
"201",5.74140520203555e-08
"202",3.8166023275898e-08
"203",5.12251445579312e-09
"204",5.53911467803293e-09
"205",3.97581952884498e-08
"206",5.47743592236176e-08
"207",2.99719736133501e-08
"208",9.8645395065641e-09
"209",5.5247214469643e-08
"210",2.96142522077248e-08
"211",5.69493921903888e-08
"212",6.71726269720259e-09
"213",7.61570429032579e-09
"214",5.77727871792658e-08
"215",2.65094769089531e-08
"216",8.37560069758816e-09
"217",1.02322608293632e-08
"218",2.37695699420543e-08
"219",3.59795808106896e-08
"220",2.21451886970321e-08
"221",4.52397132737578e-09
"222",4.96750981087695e-09
"223",3.05192985655131e-08
"224",2.02083685173796e-08
"225",5.60861228625101e-09
"226",2.75576235027578e-08
"227",4.73458611187329e-08
"228",5.28878332388302e-08
